id_distribusi,tanggal_distribusi,tujuan,jumlah_distribusi_kg,harga_per_kg,total_harga,id_panen,tanggal_panen,kualitas,jumlah_panen_kg,nama_petani,nik,luas_lahan_ha,tahun_bergabung,nama_desa,kecamatan,komoditas,satuan,bulan_panen,bulan_distribusi,produktivitas_kg_per_ha,selisih_kg
1,2024-01-17,Bulog Palangkaraya,3000.0,5200.0,15600000.0,1,2024-01-15,A,3500.0,Ahmad Subandi,6201010101010001,2.5,2021,Kelampangan,Sebangau,Padi,kg,January,January,1400.0,500.0
16,2024-06-12,Distributor Banjarmasin,2600.0,4800.0,12480000.0,16,2024-06-10,A,2800.0,Ahmad Subandi,6201010101010001,2.5,2021,Kelampangan,Sebangau,Jagung,kg,June,June,1120.0,200.0
2,2024-01-22,Pasar Kahayan,1800.0,5000.0,9000000.0,2,2024-01-20,B,2100.0,Siti Rahmah,6201010101010002,1.75,2021,Kelampangan,Sebangau,Padi,kg,January,January,1200.0,300.0
23,2024-10-03,Bulog Palangkaraya,2200.0,5200.0,11440000.0,23,2024-10-01,A,2450.0,Siti Rahmah,6201010101010002,1.75,2021,Kelampangan,Sebangau,Padi,kg,October,October,1400.0,250.0
3,2024-02-07,Distributor Banjarmasin,4000.0,4800.0,19200000.0,3,2024-02-05,A,4200.0,Budi Santoso,6201010101010003,3.0,2022,Garantung,Maliku,Jagung,kg,February,February,1400.0,200.0
17,2024-07-07,Bulog Palangkaraya,4200.0,5200.0,21840000.0,17,2024-07-05,A,4500.0,Budi Santoso,6201010101010003,3.0,2022,Garantung,Maliku,Padi,kg,July,July,1500.0,300.0
4,2024-02-12,Bulog Palangkaraya,3500.0,5200.0,18200000.0,4,2024-02-10,A,3800.0,Hendra Wijaya,6201010101010004,2.25,2021,Garantung,Maliku,Padi,kg,February,February,1688.888888888889,300.0
24,2024-10-14,Pasar Kahayan,1900.0,3500.0,6650000.0,24,2024-10-12,B,2100.0,Hendra Wijaya,6201010101010004,2.25,2021,Garantung,Maliku,Singkong,kg,October,October,933.3333333333334,200.0
5,2024-02-22,Koperasi Petani,1200.0,8500.0,10200000.0,5,2024-02-20,B,1500.0,Mulyadi,6201010101010005,1.5,2022,Badirih,Jabiren Raya,Kedelai,kg,February,February,1000.0,300.0
18,2024-07-20,Pasar Kahayan,700.0,35000.0,24500000.0,18,2024-07-18,B,750.0,Mulyadi,6201010101010005,1.5,2022,Badirih,Jabiren Raya,Cabai,kg,July,July,500.0,50.0
